Brood_Year,escapement,age_01,age_02,age_11,age_03,age_12,age_21,age_04,age_13,age_22,age_31,age_05,age_14,age_23,age_32,age_15,age_24,age_33,age_42
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,153.3263841,3019.823623,0,0,29.88696359,0,0
1979,0,0,0,0,0,0,0,89.17149659,56466.68621,7696.687797,0,0,642.3499378,4001.468512,0,0,0.014263922,2.877806101,0
1980,0,0,0,0,12020.69187,12079.08803,86.44849901,306.2585768,51993.69855,7000.499492,0,0,358.3984681,13017.47213,0,0,38.62682741,0,0
1981,0,0,1605.008505,1235.99941,4230.984724,14592.29579,302.6852597,12.51320298,79207.11351,3158.509601,0,0,247.6451065,5570.158023,20.66157713,0,15.99775352,7.23E-05,0
1982,0,137.7026668,4984.039078,3148.423933,12487.62289,33006.21868,90.22920969,178.8831351,63815.69619,2453.468479,0,0,86.21302964,3430.318265,50.05233487,0,0,0,0
1983,,213.1176536,4657.456291,590.2127757,17457.78093,18743.22568,1571.300703,19.7936756,37132.43807,3823.676528,0,0,186.1936219,7962.199937,0,0,15.74468968,30.18729234,0
1984,67298.6345,15.16103016,994.0368717,3736.967238,8540.683515,24111.63982,144.3625269,44.82345161,95220.85038,3603.75052,0,0,405.6954351,13019.95592,0,0,0,0,0
1985,76114.70847,530.6522335,4439.646603,3375.073769,16547.25673,20561.30199,287.2505533,340.1851221,115697.8315,8237.964002,0,0,346.0850128,14215.90471,4.178832267,0,38.50315183,0,0
1986,71020.81937,173.8015631,2599.003436,2955.120081,15660.52981,28607.0467,103.1423519,178.5943058,113107.1583,6867.436479,0,0,245.666463,14949.98286,0,0,54.42880687,96.14110314,0
1987,46508.8822,192.9459714,4357.841978,2135.894639,28032.00768,39713.05646,666.293516,176.934165,126213.921,7368.327324,0,0,479.2377643,13336.73374,11.2710043,0,0,0,0
1988,46591.37445,233.3261522,9615.363035,2887.161932,35361.24771,31326.82804,744.2781929,273.4514202,150211.0505,8377.845248,0,0,203.9353625,9090.542344,0,0,0,0,0
1989,67989.76592,97.48256882,7712.752571,1976.342104,39012.83344,21407.05943,446.3926948,69.87866529,132401.1872,4777.584918,0,0,330.812158,8624.010016,0,0,0,0,0
1990,58086.3752,195.4525653,4960.277096,2096.658801,23461.47024,16194.72114,57.48075737,214.90238,96835.3326,8693.829462,0,0,815.5946938,7711.803161,78.1637898,0,0,0,19.1387603
1991,85082.0056,162.762244,4136.835049,2928.383394,12505.04191,44987.34353,47.62548956,218.8207095,133543.1514,13076.32859,0,0,213.7833346,16097.46862,21.84526443,0,0,59.45879824,0
1992,75272.5399,572.7466562,22311.65337,2142.371288,93012.95675,30178.97735,124.661416,211.0634034,80108.67455,9905.599319,0,0,170.6825995,8487.579122,6.57475907,9.226288695,0,0,0
1993,65314.76933,157.1448443,4827.592275,670.1360244,13275.88925,29297.30097,177.2828816,78.39328177,73973.01912,5334.892981,0,0,213.8887653,3714.2747,92.34238176,0,0,51.73526159,0
1994,66831.18894,47.34204431,1845.575058,1241.926928,2839.133083,20946.08157,163.2435212,30.12446579,57939.36307,10308.56418,0,0,523.8584939,10288.05734,116.0940909,0,0,31.81478202,0
1995,77598.7558,101.0448297,2554.421839,1877.355856,5517.457298,66258.65869,359.3468526,23.17319536,98684.73498,8220.456674,0,0,588.9120705,7789.571588,0,0,0,0,0
1996,60074.4868,29.60763122,5027.352505,1543.011223,25616.8788,63021.6136,62.58416304,383.8984062,218953.19,5213.10546,0,0,1665.391418,5390.061548,0,0,0,0,0
1997,51764.41195,478.6033271,8919.5109,798.3610927,41418.75483,46603.93135,421.4935948,618.2790356,116360.6943,4368.929892,0,0,231.5928667,5158.454049,0,0,0,0,0
1998,48851.33302,51.07654742,2984.431398,7623.417678,5993.113974,69137.32341,25.14972147,22.41592014,192151.1136,2451.923157,0,0,377.0314229,3824.737511,0,0,0,0,0
1999,68203.4725,585.9512971,10578.98176,1639.010844,17619.41237,47098.69673,77.28398442,116.9293076,78649.83656,3819.6994,0,0,119.6733262,2602.821114,0,0,0,0,0
2000,58671.15611,180.3278488,11096.03701,2862.010465,32187.88099,42630.01013,0,91.85486218,77628.43391,2094.826873,0,0,904.4387824,5552.790636,21.98477068,0,0,5.125617863,0
2001,90873.0648,291.3759187,9193.562699,531.8015545,22060.80126,23204.08248,29.19018225,178.2616172,106182.5652,11613.84626,0,0,547.0588143,7176.513245,0,0,0,0,0
2002,68534.7092,226.771584,4356.4767,1647.722748,11192.42885,33270.57387,0,63.81733966,64115.32487,3268.257358,0,0,385.667512,4402.410713,0,0,0,0,0
2003,110142,460.1412465,11080.87695,1449.754874,19997.97939,37445.24449,30.16662159,114.6199541,94244.14209,3608.399735,0,0,184.1461987,6694.070774,87.2575836,0,0,0,0
2004,75147,315.1941201,11050.57565,1641.040314,27979.1517,24151.77685,142.2634795,104.2658082,67879.92114,1572.243094,0,0,316.9454102,1488.476159,0,0,0,0,0
2005,66959,345.5569747,7934.266164,1834.019608,18950.29213,21866.5634,297.7023709,140.6580538,47998.34991,4064.87235,0,0,427.1244506,7085.607998,0,0,81.01307353,28.75201464,0
2006,97548,399.8652535,8920.822809,7226.768774,23631.92361,37027.64094,55.7800654,56.58333194,110219.2349,3742.14211,0,0,802.4530475,3012.564375,1.984695918,0,39.5169831,0,0
2007,68833,273.9390856,5259.988349,1894.173365,13132.78924,16453.28592,392.3632851,96.34319013,50257.32689,12350.5256,0,0,892.7997779,11132.0146,0,0,26.65231389,45.08297873,0
2008,83850,403.9480106,7495.898952,2823.35288,24274.69605,57038.87805,197.655471,394.3606252,106314.0281,1742.954816,0,0,448.7988741,1918.061347,13.32615694,0,0,0,0
2009,86922,466.7977181,5016.714121,856.5655914,20084.49018,20380.2164,149.9746676,153.5251021,29622.27731,2073.163254,0,0,55.79132875,2169.896996,48.26681335,0,0,0,0
2010,56439,280.2342651,2695.959748,2567.782961,10283.08597,31380.61085,453.8303451,33.44615719,58813.11563,3943.906442,6.869538437,0,279.3421128,2806.824088,0,0,17.99268568,0,0
2011,73442.22283,644.2975496,22774.53151,3492.063231,57431.26282,29483.06946,115.6217252,427.1342142,67261.45861,4024.54764,70.55019112,0,1033.702801,6401.42034,0,0,74.35437034,34.28631281,0
2012,80739.09018,298.012036,11074.02329,2301.056204,27754.01904,101090.7963,103.4770955,987.7953331,113264.6869,10555.86922,0,538.7296843,999.4364016,3266.009799,0,0,0,0,0
2013,60129.26969,397.7255734,7950.924028,1563.21144,20841.25972,15383.34277,17.99268568,713.5301344,30154.96673,2438.732413,0,0,115.0388096,3516.460576,0,0,8.470525024,0,0
2014,53886.29859,215.1028858,3692.938449,770.4315205,10362.98139,43858.21813,0,66.42025335,41190.87384,879.979873,0,0,149.5154828,1046.445529,0,0,3.864210809,20.86421986,0
2015,104297.0769,204.0377399,33524.17398,5.07095168,104725.844,8058.054452,48.64716015,681.3882857,13477.54019,3063.597963,0,0,76.08251709,1544.663737,0,0,0,0,0
2016,112125.4911,556.1414492,6797.548811,620.8258391,14289.33033,87251.32639,264.5446628,237.0799644,79222.97738,7169.82045,0,0,295.8475368,1096.021324,0,0,14.51393089,0,0
2017,77138.7565,1,8971.405511,680.915399,8673.468169,101260.3425,0,131.5722633,105611.3487,4454.291557,0,0,301.6077148,3514.185945,14.39399169,0,0,0,0
2018,83490.33919,1,7866.125431,579.1630635,17175.64393,48731.23618,223.8220368,192.7346677,66563.11544,853.8819388,0,0,210.6095597,485.9605543,0,,,,
2019,78011.2807,1,13645.95368,1194.358979,38842.08808,19828.91178,57.93578436,89.36742243,41707.16511,1581.381801,19.90610448,,,,,,,,
2020,109322.2842,1,23762.14184,9310.31199,31250.33346,77966.4177,0,,,,,,,,,,,,
2021,153242.8114,1455.019188,27583.36965,9821.486114,,,,,,,,,,,,,,,
2022,90396.40378,220.1063216,,,,,,,,,,,,,,,,,
